Cluster ID,Batch Size,nprobe,Retrieved Docs,Num Threads,Avg Retrieval Latency (s)
0,1,8,5,32,0.003989059925079346
0,2,8,5,32,0.004479262828826904
0,4,8,5,32,0.004883291721343994
0,8,8,5,32,0.005247008800506592
0,16,8,5,32,0.00555437684059143
0,24,8,5,32,0.00597454309463501
0,32,8,5,32,0.0064618468284606935
0,40,8,5,32,0.009936901330947876
0,48,8,5,32,0.010349736213684083
0,56,8,5,32,0.010764175653457641
0,64,8,5,32,0.011540430784225463
0,72,8,5,32,0.014591621160507202
0,80,8,5,32,0.015612316131591798
0,88,8,5,32,0.016073278188705444
0,96,8,5,32,0.01585796594619751
0,104,8,5,32,0.01843205690383911
0,112,8,5,32,0.019010292291641237
0,120,8,5,32,0.019584776163101197
0,128,8,5,32,0.020128532648086547
0,136,8,5,32,0.023052217960357665
0,144,8,5,32,0.02368834614753723
0,152,8,5,32,0.023681613206863402
0,160,8,5,32,0.024038305282592775
1,1,8,5,32,0.0041999626159667965
1,2,8,5,32,0.004606615304946899
1,4,8,5,32,0.0050738644599914555
1,8,8,5,32,0.005753520727157593
1,16,8,5,32,0.0066068673133850096
1,24,8,5,32,0.007478008270263672
1,32,8,5,32,0.008154208660125733
1,40,8,5,32,0.011786633729934692
1,48,8,5,32,0.01274213194847107
1,56,8,5,32,0.013458534479141235
1,64,8,5,32,0.01374146819114685
1,72,8,5,32,0.016897516250610353
1,80,8,5,32,0.018061115741729736
1,88,8,5,32,0.01836007595062256
1,96,8,5,32,0.018947840929031373
1,104,8,5,32,0.021859062910079954
1,112,8,5,32,0.0232043194770813
1,120,8,5,32,0.023941622972488405
1,128,8,5,32,0.024279643297195435
1,136,8,5,32,0.027159062623977662
1,144,8,5,32,0.028628915548324585
1,152,8,5,32,0.02939664840698242
1,160,8,5,32,0.02988928198814392
2,1,8,5,32,0.003496758937835693
2,2,8,5,32,0.0038971471786499023
2,4,8,5,32,0.004204784631729126
2,8,8,5,32,0.004732093811035156
2,16,8,5,32,0.005373872518539428
2,24,8,5,32,0.0062762701511383055
2,32,8,5,32,0.007137845754623413
2,40,8,5,32,0.010350793600082397
2,48,8,5,32,0.011345795392990111
2,56,8,5,32,0.012358198165893555
2,64,8,5,32,0.01304134726524353
2,72,8,5,32,0.015743966102600097
2,80,8,5,32,0.017065320014953613
2,88,8,5,32,0.018192425966262818
2,96,8,5,32,0.018856571912765505
2,104,8,5,32,0.021327913999557496
2,112,8,5,32,0.022847187519073487
2,120,8,5,32,0.022896076440811156
2,128,8,5,32,0.022926785945892335
2,136,8,5,32,0.02535201072692871
2,144,8,5,32,0.026693161725997925
2,152,8,5,32,0.027525031566619874
2,160,8,5,32,0.027688716650009156
3,1,8,5,32,0.0033431553840637205
3,2,8,5,32,0.003681344985961914
3,4,8,5,32,0.004005372524261475
3,8,8,5,32,0.004396378993988037
3,16,8,5,32,0.0049366426467895505
3,24,8,5,32,0.005584757328033447
3,32,8,5,32,0.006306027173995972
3,40,8,5,32,0.009421577453613281
3,48,8,5,32,0.010132139921188355
3,56,8,5,32,0.010865284204483032
3,64,8,5,32,0.011319609880447388
3,72,8,5,32,0.014058716297149658
3,80,8,5,32,0.015094163417816163
3,88,8,5,32,0.01577036738395691
3,96,8,5,32,0.016143537759780884
3,104,8,5,32,0.018758180141448973
3,112,8,5,32,0.0199507200717926
3,120,8,5,32,0.02058891296386719
3,128,8,5,32,0.021028943061828613
3,136,8,5,32,0.023021894693374633
3,144,8,5,32,0.023961461782455444
3,152,8,5,32,0.0240625
3,160,8,5,32,0.023664255142211914
4,1,8,5,32,0.0032902109622955323
4,2,8,5,32,0.003569096326828003
4,4,8,5,32,0.003793790340423584
4,8,8,5,32,0.00424555778503418
4,16,8,5,32,0.004746613502502442
4,24,8,5,32,0.005412461757659912
4,32,8,5,32,0.006155916452407837
4,40,8,5,32,0.009240353107452392
4,48,8,5,32,0.010124143362045288
4,56,8,5,32,0.010638651847839355
4,64,8,5,32,0.011046650409698487
4,72,8,5,32,0.013823866844177246
4,80,8,5,32,0.0147086501121521
