Sample nprobe,Deep nprobe,Batch Size,Retrieved Docs,Clusters Searched,Avg Hermes Retrieval Latency (s),Avg Hermes Throughput (QPS)
8,128,32,5,1,0.3507469512219827,91.23386500870156
8,128,32,5,2,0.3692770050673117,86.65581544717914
8,128,32,5,3,0.3766318930192456,84.96359600211771
8,128,32,5,4,0.38346493439609236,83.44961202357618
8,128,32,5,5,0.38842854888627465,82.38323390943404
8,128,32,5,6,0.3955799236709934,80.89389295351253
8,128,32,5,7,0.40014780912070386,79.97044909559222
8,128,32,5,8,0.40553881092216126,78.90736752725265
8,128,32,5,9,0.4060733746648113,78.80349216792172
8,128,32,5,10,0.4060733746648113,78.80349216792172
8,128,64,5,1,0.38970609099923736,164.22632716850515
8,128,64,5,2,0.4095783918146925,156.25824330341095
8,128,64,5,3,0.549253781458126,116.52172849879456
8,128,64,5,4,0.6670765255499809,95.94101658311882
8,128,64,5,5,0.7167861156301606,89.28744377775031
8,128,64,5,6,0.7414593956360892,86.31625733880567
8,128,64,5,7,0.7487121596573035,85.48011298399872
8,128,64,5,8,0.7581470913945793,84.41633652155116
8,128,64,5,9,0.7683261499668582,83.29795881965053
8,128,64,5,10,0.7684030675562439,83.28962064602308
