Model Name,GPU Type,Num GPUs,Batch Size,Input Token Length,Output Token Length,Avg Prefill Time (s),Avg Decode Time (s)
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,256,0.024374163150787352,5.88291506767273
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,256,0.02536482810974121,5.972007262706756
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,256,0.027212762832641603,6.015719652175903
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,256,0.02933567762374878,6.158481180667877
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,256,0.04236365556716919,6.396058750152588
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,256,0.07426540851593018,6.981182336807251
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,256,0.13540300130844116,8.313985550403595
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,256,0.2690202474594116,10.787028312683105
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,32,512,0.024361073970794678,11.828957271575927
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,32,512,0.025289297103881836,12.014502000808715
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,32,512,0.02748788595199585,12.182847714424135
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,32,512,0.02922499179840088,12.53955215215683
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,32,512,0.0425370454788208,13.271039509773255
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,32,512,0.07417114973068237,14.895237255096434
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,32,512,0.13782678842544555,18.5816841006279
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,32,512,0.2729796290397644,25.771743857860567
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,64,4,0.024541127681732177,0.06938555240631103
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,64,4,0.0255795955657959,0.07198009490966797
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,64,4,0.027773523330688478,0.07271893024444581
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,64,4,0.030679595470428467,0.07470489740371704
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,64,4,0.0440832257270813,0.07891730070114135
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,64,4,0.07435388565063476,0.08245534896850586
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,64,4,0.14854896068572998,0.09600756168365479
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,64,4,0.2956307649612427,0.11758172512054443
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,64,8,0.02449136972427368,0.16132831573486328
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,64,8,0.025465750694274904,0.16411211490631103
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,64,8,0.027526116371154784,0.1646320104598999
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,64,8,0.030333888530731202,0.16770155429840086
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,64,8,0.0414060115814209,0.1750014305114746
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,64,8,0.07255562543869018,0.18723151683807374
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,64,8,0.1458464741706848,0.21586188077926638
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,64,8,0.2956694483757019,0.27572908401489254
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,64,16,0.02454017400741577,0.3453516960144043
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,64,16,0.02545403242111206,0.35118845701217655
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,64,16,0.027706396579742432,0.3520744800567627
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,64,16,0.029894697666168212,0.3581341624259949
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,64,16,0.04224128723144531,0.372213876247406
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,64,16,0.0742556095123291,0.39647406339645386
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,64,16,0.14688013792037963,0.45721547603607177
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,64,16,0.29757343530654906,0.5702520132064819
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,64,32,0.024491655826568603,0.7137578964233398
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,64,32,0.025494611263275145,0.7259725093841553
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,64,32,0.028011083602905273,0.7287614941596985
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,64,32,0.029891443252563477,0.7401136159896851
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,64,32,0.04259779453277588,0.7637497305870056
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,64,32,0.07530478239059449,0.8157948017120361
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,64,32,0.14658892154693604,0.9517756581306458
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,64,32,0.30000354051589967,1.1929455637931825
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,64,64,0.024622631072998048,1.4537805199623108
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,64,64,0.025673890113830568,1.477655279636383
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,64,64,0.027833724021911622,1.4836629748344423
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,64,64,0.03028438091278076,1.5219669699668883
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,64,64,0.04282315969467163,1.5611584305763246
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,64,64,0.07496018409729004,1.6743207573890686
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,64,64,0.15161893367767335,1.9698288798332215
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,64,64,0.3033272624015808,2.472647321224213
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,64,128,0.024615609645843507,2.931273913383484
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,64,128,0.02564607858657837,2.98206946849823
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,64,128,0.02783191204071045,3.008363366127014
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,64,128,0.03033609390258789,3.0590855360031126
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,64,128,0.043622171878814696,3.170094347000122
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,64,128,0.07531700134277344,3.4417292594909665
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,64,128,0.1518226981163025,4.077195072174072
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,64,128,0.30472760200500487,5.204844129085541
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,64,256,0.02457914352416992,5.902513885498047
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,64,256,0.02581169605255127,5.996584951877594
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,64,256,0.027765655517578126,6.051473069190979
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,64,256,0.030927705764770507,6.208599305152894
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,64,256,0.04524686336517334,6.48505448102951
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,64,256,0.07737455368041993,7.130119061470032
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,64,256,0.15061404705047607,8.64490247964859
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,64,256,0.3067969083786011,11.43748164176941
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,64,512,0.024608087539672852,11.873561811447145
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,64,512,0.02563962936401367,12.066697251796723
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,64,512,0.02804718017578125,12.241506719589234
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,64,512,0.030540728569030763,12.658924651145934
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,16,64,512,0.04521212577819824,13.442289018630982
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,32,64,512,0.07806485891342163,15.147942090034485
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,64,64,512,0.1541246771812439,18.890828943252565
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,128,64,512,0.3061176538467407,27.039592444896698
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,1,128,4,0.024593520164489745,0.06997426748275756
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,2,128,4,0.025744128227233886,0.07150307893753051
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,4,128,4,0.028075969219207762,0.0724022626876831
google/gemma-2-9b,NVIDIA RTX 6000 Ada Generation,1,8,128,4,0.03089019060134888,0.07401640415191652
