Sample nprobe,Deep nprobe,Batch Size,Retrieved Docs,Clusters Searched,Avg Hermes Retrieval Latency (s),Avg Hermes Throughput (QPS)
8,128,32,5,1,0.0843725624866225,379.2702160145211
8,128,32,5,2,0.08965835398771253,356.9104113196805
8,128,32,5,3,0.09358596877509932,341.9315995638262
8,128,32,5,4,0.099598296947457,321.2906342854594
8,128,32,5,5,0.10526555923095188,303.99306509921473
8,128,32,5,6,0.11589682298118133,276.10765486812335
8,128,32,5,7,0.12181213961923489,262.6995971011333
8,128,32,5,8,0.12788527010878256,250.22428284961953
8,128,32,5,9,0.1284716446381416,249.08220090224958
8,128,32,5,10,0.1284716446381416,249.08220090224958
8,128,64,5,1,0.09572945321265418,668.5507735830255
8,128,64,5,2,0.1086310021659678,589.1504149268549
8,128,64,5,3,0.15723693110957135,407.02905830311124
8,128,64,5,4,0.19090706781734237,335.24164784320317
8,128,64,5,5,0.20349435390352327,314.50504042162476
8,128,64,5,6,0.21196868922137008,301.9313854092923
8,128,64,5,7,0.21987996279835936,291.0679044397107
8,128,64,5,8,0.22628629231675315,282.82756036505066
8,128,64,5,9,0.22675748224182177,282.2398598152905
8,128,64,5,10,0.22675748224182177,282.2398598152905
