Number of Searched Indices,Sample nProbe,Deep nProbe,Retrieved Docs,Num Threads,Avg Sample Search Time (s),Avg Deep Search Time (s),Avg Aggregation Time (s)
6,256,256,5,32,0.18916361778974528,0.1055887788534164,3.335624933242798e-05
7,1,128,5,32,0.002190969884395553,0.06416340917348858,4.1872262954711914e-05
7,1,256,5,32,0.0024157986044883203,0.12308036535978313,3.715977072715759e-05
7,2,128,5,32,0.002736069262027681,0.05793470889329907,3.981590270996094e-05
7,2,256,5,32,0.0025654807686805252,0.11901922523975368,3.671273589134216e-05
7,4,128,5,32,0.0041579827666282185,0.05955114215612406,4.0784478187561035e-05
7,4,256,5,32,0.0037251487374305187,0.11717706546187397,4.654750227928122e-05
7,8,16,5,32,0.0057921707630157,0.00744847208261485,3.37064266204834e-05
7,8,32,5,32,0.007626205682754469,0.015599019825458485,5.871802568435503e-05
7,8,64,5,32,0.006509885191917369,0.029585361480712846,3.682076930999756e-05
7,8,128,5,32,0.006713092327117869,0.06142105534672733,3.7901103496551514e-05
7,8,256,5,32,0.006277028471231417,0.12355026230216022,4.720315337181062e-05
7,16,128,5,32,0.013732798397540994,0.060667365789413404,4.0121376514434814e-05
7,16,256,5,32,0.0116886049509048,0.11988512426614757,3.499537706375122e-05
7,32,128,5,32,0.025771461427211706,0.060977578163146924,4.057586193084717e-05
7,32,256,5,32,0.022007487714290574,0.12172199040651317,3.4831464290618896e-05
7,64,128,5,32,0.050478324294090215,0.05675078183412547,4.050135612487793e-05
7,64,256,5,32,0.04473225027322764,0.12123809754848476,3.536045551300049e-05
7,128,128,5,32,0.10442978888750072,0.05411189049482341,4.0374696254730225e-05
7,128,256,5,32,0.08815749734640117,0.11660614609718319,3.503262996673584e-05
7,256,256,5,32,0.18916361778974528,0.11098048835992809,3.49581241607666e-05
8,1,128,5,32,0.002190969884395553,0.06370734423398967,4.1812658309936523e-05
8,1,256,5,32,0.0024157986044883203,0.12628446891903874,3.758817911148071e-05
8,2,128,5,32,0.002736069262027681,0.06789828091859813,4.035234451293945e-05
8,2,256,5,32,0.0025654807686805252,0.12780186533927912,3.7364661693573e-05
8,4,128,5,32,0.0041579827666282185,0.06426998972892757,4.156678915023804e-05
8,4,256,5,32,0.0037251487374305187,0.12162685394287105,3.666430711746216e-05
8,8,16,5,32,0.0057921707630157,0.007581926882266953,3.482401371002197e-05
8,8,32,5,32,0.007626205682754469,0.01438029110431666,3.7379562854766846e-05
8,8,64,5,32,0.006509885191917369,0.028395526111125894,5.937367677688594e-05
8,8,128,5,32,0.006713092327117869,0.05901201814413066,3.867596387863159e-05
8,8,256,5,32,0.006277028471231417,0.11845865845680233,3.6716461181640625e-05
8,16,128,5,32,0.013732798397540994,0.06161601841449733,4.188716411590576e-05
8,16,256,5,32,0.0116886049509048,0.11853122711181636,3.524869680404663e-05
8,32,128,5,32,0.025771461427211706,0.05944550782442089,4.1365623474121094e-05
8,32,256,5,32,0.022007487714290574,0.11730063706636425,3.53008508682251e-05
8,64,128,5,32,0.050478324294090215,0.06036838144063944,4.155933856964111e-05
8,64,256,5,32,0.04473225027322764,0.12137516587972637,3.521144390106201e-05
8,128,128,5,32,0.10442978888750072,0.05624171346426007,4.137307405471802e-05
8,128,256,5,32,0.08815749734640117,0.11743167787790294,3.539770841598511e-05
8,256,256,5,32,0.18916361778974528,0.11433435976505275,3.5643577575683594e-05
9,1,128,5,32,0.002190969884395553,0.061987504363059956,6.669759750366074e-05
9,1,256,5,32,0.0024157986044883203,0.12470602244138713,3.89590859413147e-05
9,2,128,5,32,0.002736069262027681,0.06158321350812908,4.175305366516113e-05
9,2,256,5,32,0.0025654807686805252,0.126227393746376,3.872811794281006e-05
9,4,128,5,32,0.0041579827666282185,0.06238879263401027,4.128366708755493e-05
9,4,256,5,32,0.0037251487374305187,0.12433592230081554,3.783032298088074e-05
9,8,16,5,32,0.0057921707630157,0.0077416449785232,3.5159289836883545e-05
9,8,32,5,32,0.007626205682754469,0.014788888394832563,3.758072853088379e-05
9,8,64,5,32,0.006509885191917369,0.028961487114429432,5.7108700275419096e-05
9,8,128,5,32,0.006713092327117869,0.060738716274499845,3.892555832862854e-05
9,8,256,5,32,0.006277028471231417,0.11806817725300785,3.660842776298523e-05
9,16,128,5,32,0.013732798397540994,0.061439402401447255,4.197657108306885e-05
9,16,256,5,32,0.0116886049509048,0.12177976965904233,3.583729267120361e-05
9,32,128,5,32,0.025771461427211706,0.05874855816364283,4.153698682785034e-05
9,32,256,5,32,0.022007487714290574,0.11834086477756496,3.548711538314819e-05
9,64,128,5,32,0.050478324294090215,0.057609677314758245,4.275888204574585e-05
9,64,256,5,32,0.04473225027322764,0.11702869087457651,3.549456596374512e-05
9,128,128,5,32,0.10442978888750072,0.05848657339811321,7.757544517516803e-05
9,128,256,5,32,0.08815749734640117,0.11840839684009548,3.693997859954834e-05
9,256,256,5,32,0.18916361778974528,0.11241569370031353,3.534555435180664e-05
10,1,128,5,32,0.002190969884395553,0.05650168657302852,7.373094558715805e-05
10,1,256,5,32,0.0024157986044883203,0.11481621488928791,3.760308027267456e-05
10,2,128,5,32,0.002736069262027681,0.0572641789913177,4.127621650695801e-05
10,2,256,5,32,0.0025654807686805252,0.11433776468038555,3.793090581893921e-05
10,4,128,5,32,0.0041579827666282185,0.05670276284217829,4.108250141143799e-05
10,4,256,5,32,0.0037251487374305187,0.11338242143392557,3.701448440551758e-05
10,8,16,5,32,0.0057921707630157,0.007728099822998006,3.604590892791748e-05
10,8,32,5,32,0.007626205682754469,0.014035306870937297,3.723800182342529e-05
10,8,64,5,32,0.006509885191917369,0.027952738106250725,3.9286911487579346e-05
10,8,128,5,32,0.006713092327117869,0.056196220219135236,3.935396671295166e-05
10,8,256,5,32,0.006277028471231417,0.11361879482865328,3.7219375371932983e-05
10,16,128,5,32,0.013732798397540994,0.05642263591289516,4.134327173233032e-05
10,16,256,5,32,0.0116886049509048,0.11379308998584743,6.394833326339536e-05
10,32,128,5,32,0.025771461427211706,0.05685234069824215,4.216283559799194e-05
10,32,256,5,32,0.022007487714290574,0.1121602207422256,3.5785138607025146e-05
10,64,128,5,32,0.050478324294090215,0.057297974824905354,4.1961669921875e-05
10,64,256,5,32,0.04473225027322764,0.11409006267786022,3.6112964153289795e-05
10,128,128,5,32,0.10442978888750072,0.05740261077880855,4.175305366516113e-05
10,128,256,5,32,0.08815749734640117,0.11335051804780956,3.625452518463135e-05
10,256,256,5,32,0.18916361778974528,0.111662246286869,3.5315752029418945e-05
,32,,32,,32,,
,32,,32,,32,,
,32,,32,,32,,
,32,,32,,32,,
