Cluster ID,Batch Size,nprobe,Retrieved Docs,Num Threads,Avg Retrieval Latency (s)
0,1,8,5,32,0.005064430236816406
0,2,8,5,32,0.005155715942382812
0,4,8,5,32,0.006794720888137817
0,8,8,5,32,0.009220387935638428
0,16,8,5,32,0.009032869338989257
0,24,8,5,32,0.00922876238822937
0,32,8,5,32,0.008781577348709107
0,40,8,5,32,0.01432352066040039
0,48,8,5,32,0.014700385332107544
0,56,8,5,32,0.01456089973449707
0,64,8,5,32,0.015347193479537963
0,72,8,5,32,0.018710190057754518
0,80,8,5,32,0.019801061153411865
0,88,8,5,32,0.019358675479888916
0,96,8,5,32,0.021023874282836915
0,104,8,5,32,0.023020896911621094
0,112,8,5,32,0.024720267057418824
0,120,8,5,32,0.025985990762710572
0,128,8,5,32,0.026292030811309815
0,136,8,5,32,0.028039989471435548
0,144,8,5,32,0.029866098165512084
0,152,8,5,32,0.030185902118682863
0,160,8,5,32,0.03110111355781555
1,1,8,5,32,0.005406663417816162
1,2,8,5,32,0.005422583818435669
1,4,8,5,32,0.005566695928573609
1,8,8,5,32,0.006875596046447754
1,16,8,5,32,0.007827342748641967
1,24,8,5,32,0.009506452083587646
1,32,8,5,32,0.011852519512176514
1,40,8,5,32,0.017950023412704467
1,48,8,5,32,0.018244119882583617
1,56,8,5,32,0.01965539574623108
1,64,8,5,32,0.022743990421295168
1,72,8,5,32,0.02851915717124939
1,80,8,5,32,0.02756645679473877
1,88,8,5,32,0.029738675355911254
1,96,8,5,32,0.03234537959098816
1,104,8,5,32,0.03613901495933533
1,112,8,5,32,0.03708361744880676
1,120,8,5,32,0.039314898252487185
1,128,8,5,32,0.042701640129089356
1,136,8,5,32,0.047367866039276126
1,144,8,5,32,0.047244861125946044
1,152,8,5,32,0.049258962869644166
1,160,8,5,32,0.05144685387611389
2,1,8,5,32,0.004454808235168457
2,2,8,5,32,0.004529011249542236
2,4,8,5,32,0.004980721473693848
2,8,8,5,32,0.00552617073059082
2,16,8,5,32,0.006494989395141601
2,24,8,5,32,0.007805165052413941
2,32,8,5,32,0.009775532484054565
2,40,8,5,32,0.015614888668060302
2,48,8,5,32,0.016895458698272706
2,56,8,5,32,0.01677250862121582
2,64,8,5,32,0.017386064529418946
2,72,8,5,32,0.02447176694869995
2,80,8,5,32,0.02340388536453247
2,88,8,5,32,0.023531917333602905
2,96,8,5,32,0.02452697038650513
2,104,8,5,32,0.02689265727996826
2,112,8,5,32,0.0252642285823822
2,120,8,5,32,0.02548940300941467
2,128,8,5,32,0.026013935804367064
2,136,8,5,32,0.02841528654098511
2,144,8,5,32,0.029686447381973267
2,152,8,5,32,0.03089784622192383
2,160,8,5,32,0.031719526052474974
3,1,8,5,32,0.004340143203735352
3,2,8,5,32,0.0043221056461334225
3,4,8,5,32,0.004970214366912842
3,8,8,5,32,0.0060932087898254396
3,16,8,5,32,0.007452216148376465
3,24,8,5,32,0.008921328783035278
3,32,8,5,32,0.010022779703140259
3,40,8,5,32,0.013340119123458862
3,48,8,5,32,0.015554479360580444
3,56,8,5,32,0.014347968101501464
3,64,8,5,32,0.014294371604919434
3,72,8,5,32,0.01685978055000305
3,80,8,5,32,0.017839900255203246
3,88,8,5,32,0.01885186791419983
3,96,8,5,32,0.019588624238967896
3,104,8,5,32,0.021183476448059083
3,112,8,5,32,0.022454347610473633
3,120,8,5,32,0.02461796760559082
3,128,8,5,32,0.024026278257369995
3,136,8,5,32,0.027058672904968262
3,144,8,5,32,0.027710944414138794
3,152,8,5,32,0.028586851358413698
3,160,8,5,32,0.029521305561065674
4,1,8,5,32,0.0030704712867736816
4,2,8,5,32,0.003748253583908081
4,4,8,5,32,0.003977617025375366
4,8,8,5,32,0.004477838277816773
4,16,8,5,32,0.005441360473632813
4,24,8,5,32,0.006121289730072021
4,32,8,5,32,0.007253668308258057
4,40,8,5,32,0.010811665058135987
4,48,8,5,32,0.011402281522750855
4,56,8,5,32,0.012074121236801148
4,64,8,5,32,0.012944234609603882
4,72,8,5,32,0.017599700689315795
4,80,8,5,32,0.016819617748260497
4,88,8,5,32,0.01763078451156616
4,96,8,5,32,0.01859423756599426
4,104,8,5,32,0.02176931858062744
4,112,8,5,32,0.02353147029876709
4,120,8,5,32,0.023832393884658812
4,128,8,5,32,0.024096301794052123
4,136,8,5,32,0.027105332612991334
4,144,8,5,32,0.027708882093429567
4,152,8,5,32,0.028645671606063842
4,160,8,5,32,0.029571754932403563
5,1,8,5,32,0.005580787658691406
5,2,8,5,32,0.005443539619445801
5,4,8,5,32,0.005758935213088989
5,8,8,5,32,0.006782814264297486
5,16,8,5,32,0.007772020101547241
5,24,8,5,32,0.008953063488006592
5,32,8,5,32,0.011569770574569703
5,40,8,5,32,0.01825913667678833
5,48,8,5,32,0.017565754652023317
5,56,8,5,32,0.019561311006546022
5,64,8,5,32,0.021542850732803345
5,72,8,5,32,0.02728233814239502
5,80,8,5,32,0.027941399812698366
5,88,8,5,32,0.02973381519317627
5,96,8,5,32,0.031243367195129393
5,104,8,5,32,0.03516166925430298
5,112,8,5,32,0.03696728587150574
5,120,8,5,32,0.039410465955734254
5,128,8,5,32,0.04135959506034851
5,136,8,5,32,0.04603561282157898
5,144,8,5,32,0.04739585518836975
5,152,8,5,32,0.04917812585830689
5,160,8,5,32,0.05098615050315857
6,1,8,5,32,0.00346095085144043
6,2,8,5,32,0.0038298535346984863
6,4,8,5,32,0.004172627925872803
6,8,8,5,32,0.00478096604347229
6,16,8,5,32,0.005374442338943481
6,24,8,5,32,0.00582314133644104
6,32,8,5,32,0.006815727949142456
6,40,8,5,32,0.009504208564758301
6,48,8,5,32,0.010088825225830078
6,56,8,5,32,0.01076012134552002
6,64,8,5,32,0.01222488284111023
6,72,8,5,32,0.014839012622833252
6,80,8,5,32,0.015248943567276001
6,88,8,5,32,0.01649054288864136
6,96,8,5,32,0.017874505519866943
6,104,8,5,32,0.020823520421981812
6,112,8,5,32,0.020289074182510376
6,120,8,5,32,0.02159618854522705
6,128,8,5,32,0.02199753522872925
6,136,8,5,32,0.025972058773040773
6,144,8,5,32,0.026371055841445924
6,152,8,5,32,0.0262595534324646
6,160,8,5,32,0.028553352355957032
7,1,8,5,32,0.0029845285415649415
7,2,8,5,32,0.004143475294113159
7,4,8,5,32,0.004554665088653565
7,8,8,5,32,0.004845093488693237
7,16,8,5,32,0.0058060503005981446
7,24,8,5,32,0.009204391241073608
7,32,8,5,32,0.007857985496520996
7,40,8,5,32,0.010702060461044311
7,48,8,5,32,0.011646900177001953
7,56,8,5,32,0.012844077348709106
7,64,8,5,32,0.013881326913833618
7,72,8,5,32,0.015756963491439818
7,80,8,5,32,0.017481650114059447
7,88,8,5,32,0.019030137062072752
7,96,8,5,32,0.02063168168067932
7,104,8,5,32,0.021486175060272217
7,112,8,5,32,0.024719159603118896
7,120,8,5,32,0.025379955768585205
7,128,8,5,32,0.02622096300125122
7,136,8,5,32,0.027914762496948242
7,144,8,5,32,0.031027479171752928
7,152,8,5,32,0.030937994718551635
7,160,8,5,32,0.033639988899230956
8,1,8,5,32,0.003051074743270874
8,2,8,5,32,0.004026155471801757
8,4,8,5,32,0.0048511683940887455
8,8,8,5,32,0.0055678761005401615
8,16,8,5,32,0.006520202159881592
8,24,8,5,32,0.007396882772445679
8,32,8,5,32,0.008973760604858399
8,40,8,5,32,0.013227846622467041
8,48,8,5,32,0.013996461629867554
8,56,8,5,32,0.015134111642837525
8,64,8,5,32,0.016283272504806517
8,72,8,5,32,0.01992045044898987
8,80,8,5,32,0.02371233344078064
8,88,8,5,32,0.023364181518554687
8,96,8,5,32,0.024500037431716918
8,104,8,5,32,0.02849035143852234
8,112,8,5,32,0.029256742000579834
8,120,8,5,32,0.031208760738372802
8,128,8,5,32,0.03154897689819336
8,136,8,5,32,0.03561734795570373
8,144,8,5,32,0.03625061392784119
8,152,8,5,32,0.03765537738800049
8,160,8,5,32,0.03879632353782654
9,1,8,5,32,0.0026887643337249758
9,2,8,5,32,0.0033027279376983644
9,4,8,5,32,0.004064085483551025
9,8,8,5,32,0.004566042423248291
9,16,8,5,32,0.00503064751625061
9,24,8,5,32,0.005771470069885254
9,32,8,5,32,0.007075467109680176
9,40,8,5,32,0.009703829288482665
9,48,8,5,32,0.010852649211883544
9,56,8,5,32,0.01212486982345581
9,64,8,5,32,0.01274269700050354
9,72,8,5,32,0.014810739755630494
9,80,8,5,32,0.01632850170135498
9,88,8,5,32,0.0183653461933136
9,96,8,5,32,0.018525446653366088
9,104,8,5,32,0.020341570377349853
9,112,8,5,32,0.02265007495880127
9,120,8,5,32,0.024568735361099242
9,128,8,5,32,0.023780685663223267
9,136,8,5,32,0.025754181146621705
9,144,8,5,32,0.027456233501434325
9,152,8,5,32,0.02899218797683716
9,160,8,5,32,0.030786828994750978
0,1,128,5,32,0.057546385526657105
0,2,128,5,32,0.09016407251358033
0,4,128,5,32,0.09640573024749756
0,8,128,5,32,0.10528227090835571
0,16,128,5,32,0.09261302351951599
0,24,128,5,32,0.0992963695526123
0,32,128,5,32,0.11214547872543335
0,40,128,5,32,0.1803442895412445
0,48,128,5,32,0.17947936296463013
0,56,128,5,32,0.18834226608276367
0,64,128,5,32,0.20670514225959777
0,72,128,5,32,0.2540614831447601
0,80,128,5,32,0.2701545464992523
0,88,128,5,32,0.2806930637359619
0,96,128,5,32,0.29689019560813906
0,104,128,5,32,0.3492720258235931
0,112,128,5,32,0.46979008793830873
0,120,128,5,32,0.674763971567154
0,128,128,5,32,0.722291886806488
0,136,128,5,32,0.7322189831733703
0,144,128,5,32,0.755645409822464
0,152,128,5,32,0.7959425556659698
0,160,128,5,32,0.7311496996879577
1,1,128,5,32,0.06420736432075501
1,2,128,5,32,0.10385401964187622
1,4,128,5,32,0.10622056603431701
1,8,128,5,32,0.11998040437698364
1,16,128,5,32,0.10713109731674195
1,24,128,5,32,0.11304033279418946
1,32,128,5,32,0.130003582239151
1,40,128,5,32,0.21558247804641723
1,48,128,5,32,0.23618963241577148
1,56,128,5,32,0.29303678035736086
1,64,128,5,32,0.42766266226768496
1,72,128,5,32,0.48947611570358274
1,80,128,5,32,0.4929249477386475
1,88,128,5,32,0.5217570555210114
1,96,128,5,32,0.5628401505947113
1,104,128,5,32,0.5698287391662598
1,112,128,5,32,0.5684593188762664
