Cluster ID,Batch Size,nprobe,Retrieved Docs,Num Threads,Avg Retrieval Latency (s)
0,1,8,5,32,0.01388390064239502
0,2,8,5,32,0.016932730674743653
0,4,8,5,32,0.01906739592552185
0,8,8,5,32,0.020809783935546874
0,16,8,5,32,0.022608033418655395
0,24,8,5,32,0.02334678769111633
0,32,8,5,32,0.023791694641113283
0,40,8,5,32,0.03552530169487
0,48,8,5,32,0.03650842785835266
0,56,8,5,32,0.03996716618537903
0,64,8,5,32,0.04249132037162781
0,72,8,5,32,0.0525885009765625
0,80,8,5,32,0.05731523871421814
0,88,8,5,32,0.05786725521087646
0,96,8,5,32,0.06319672584533692
0,104,8,5,32,0.07399412155151368
0,112,8,5,32,0.07646292090415954
0,120,8,5,32,0.08673895120620728
0,128,8,5,32,0.08263629794120789
0,136,8,5,32,0.09664405345916748
0,144,8,5,32,0.10092197299003601
0,152,8,5,32,0.10642759323120117
0,160,8,5,32,0.11536934971809387
1,1,8,5,32,0.01860147714614868
1,2,8,5,32,0.021971349716186524
1,4,8,5,32,0.024295252561569215
1,8,8,5,32,0.027533090114593504
1,16,8,5,32,0.02924968719482422
1,24,8,5,32,0.03127367854118347
1,32,8,5,32,0.033205291032791136
1,40,8,5,32,0.05121019721031189
1,48,8,5,32,0.05605548739433289
1,56,8,5,32,0.058020938634872433
1,64,8,5,32,0.055890634059906005
1,72,8,5,32,0.07387248039245606
1,80,8,5,32,0.08263482213020325
1,88,8,5,32,0.08138185501098633
1,96,8,5,32,0.08329826474189758
1,104,8,5,32,0.09673632383346557
1,112,8,5,32,0.10669684648513794
1,120,8,5,32,0.10552307248115539
1,128,8,5,32,0.11018437266349793
1,136,8,5,32,0.12389378547668457
1,144,8,5,32,0.13591799139976501
1,152,8,5,32,0.13100709557533263
1,160,8,5,32,0.13151254534721374
2,1,8,5,32,0.01712198257446289
2,2,8,5,32,0.02033532738685608
2,4,8,5,32,0.020935600996017455
2,8,8,5,32,0.024122239351272584
2,16,8,5,32,0.02660660743713379
2,24,8,5,32,0.026948882341384886
